,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
88,2020,7,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0204,2.9,37.14,
89,2020,11,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0255,0.15,71.39,
90,2020,5,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0192,2.71,28.98,
91,2020,12,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0253,5.86,81.44,81.44
92,2020,10,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0256,0.65,71.14,
93,2020,8,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0209,2.83,41.02,
94,2020,1,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0155,8.36,8.36,
95,2020,6,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0198,3.33,33.28,
96,2020,4,1101073,1.1.01.073,Feijão - carioca (rajado),0.1703,17.44,12.41,
97,2020,7,1101073,1.1.01.073,Feijão - carioca (rajado),0.2268,-5.53,20.28,
98,2020,6,1101073,1.1.01.073,Feijão - carioca (rajado),0.2172,4.72,27.32,
99,2020,12,1101073,1.1.01.073,Feijão - carioca (rajado),0.1953,2.8,16.87,16.87
100,2020,5,1101073,1.1.01.073,Feijão - carioca (rajado),0.2004,8.15,21.58,
101,2020,11,1101073,1.1.01.073,Feijão - carioca (rajado),0.1961,0.61,13.68,
102,2020,3,1101073,1.1.01.073,Feijão - carioca (rajado),0.1723,-0.99,-4.28,
103,2020,10,1101073,1.1.01.073,Feijão - carioca (rajado),0.1968,0.53,12.98,
104,2020,9,1101073,1.1.01.073,Feijão - carioca (rajado),0.1994,-0.46,12.39,
105,2020,8,1101073,1.1.01.073,Feijão - carioca (rajado),0.2134,-6.13,12.91,
106,2020,2,1101073,1.1.01.073,Feijão - carioca (rajado),0.1786,-3.38,-3.32,
107,2020,1,1101073,1.1.01.073,Feijão - carioca (rajado),0.179,0.06,0.06,
108,2020,10,1102,1.1.02.000,Farinhas. féculas e massas,0.6118,-0.24,4.67,
109,2020,7,1102,1.1.02.000,Farinhas. féculas e massas,0.6201,-0.14,4.43,
110,2020,4,1102,1.1.02.000,Farinhas. féculas e massas,0.6056,1.26,3.62,
111,2020,11,1102,1.1.02.000,Farinhas. féculas e massas,0.605,0.77,5.47,
112,2020,8,1102,1.1.02.000,Farinhas. féculas e massas,0.6164,-0.45,3.96,
113,2020,5,1102,1.1.02.000,Farinhas. féculas e massas,0.6146,0.2,3.82,
114,2020,6,1102,1.1.02.000,Farinhas. féculas e massas,0.6174,0.73,4.58,
115,2020,1,1102,1.1.02.000,Farinhas. féculas e massas,0.5953,0.87,0.87,
116,2020,3,1102,1.1.02.000,Farinhas. féculas e massas,0.6028,0.68,2.33,
117,2020,9,1102,1.1.02.000,Farinhas. féculas e massas,0.6115,0.93,4.92,
118,2020,2,1102,1.1.02.000,Farinhas. féculas e massas,0.5993,0.76,1.64,
119,2020,12,1102,1.1.02.000,Farinhas. féculas e massas,0.6042,1.39,6.94,6.94
120,2020,11,1102001,1.1.02.001,Farinha de arroz,0.0145,2.01,6.7,
121,2020,10,1102001,1.1.02.001,Farinha de arroz,0.0143,2.24,4.6,
122,2020,4,1102001,1.1.02.001,Farinha de arroz,0.0145,-0.42,1.14,
123,2020,5,1102001,1.1.02.001,Farinha de arroz,0.0144,0.13,1.27,
124,2020,2,1102001,1.1.02.001,Farinha de arroz,0.0145,-2.56,-1.7,
125,2020,6,1102001,1.1.02.001,Farinha de arroz,0.0145,0.72,1.99,
126,2020,8,1102001,1.1.02.001,Farinha de arroz,0.0143,0.34,1.13,
127,2020,12,1102001,1.1.02.001,Farinha de arroz,0.0147,-0.39,6.28,6.28
128,2020,9,1102001,1.1.02.001,Farinha de arroz,0.0143,1.18,2.32,
129,2020,3,1102001,1.1.02.001,Farinha de arroz,0.0141,3.33,1.56,
130,2020,1,1102001,1.1.02.001,Farinha de arroz,0.0144,0.88,0.88,
131,2020,7,1102001,1.1.02.001,Farinha de arroz,0.0145,-1.19,0.78,
132,2020,4,1102006,1.1.02.006,Macarrão,0.1988,0.99,0.19,
133,2020,12,1102006,1.1.02.006,Macarrão,0.196,0.71,1.77,1.77
134,2020,11,1102006,1.1.02.006,Macarrão,0.1959,0.94,1.06,
135,2020,6,1102006,1.1.02.006,Macarrão,0.2018,0.51,0.76,
136,2020,9,1102006,1.1.02.006,Macarrão,0.1989,0.15,0.02,
137,2020,10,1102006,1.1.02.006,Macarrão,0.1974,0.1,0.12,
138,2020,2,1102006,1.1.02.006,Macarrão,0.2007,-0.54,-0.78,
139,2020,3,1102006,1.1.02.006,Macarrão,0.1993,-0.02,-0.8,
140,2020,1,1102006,1.1.02.006,Macarrão,0.2016,-0.24,-0.24,
141,2020,8,1102006,1.1.02.006,Macarrão,0.2001,-0.25,-0.13,
142,2020,7,1102006,1.1.02.006,Macarrão,0.2022,-0.62,0.13,
143,2020,5,1102006,1.1.02.006,Macarrão,0.2012,0.06,0.25,
144,2020,3,1102008,1.1.02.008,Fubá de milho,0.007,1.57,2.79,
145,2020,6,1102008,1.1.02.008,Fubá de milho,0.0073,-0.53,4.92,
146,2020,4,1102008,1.1.02.008,Fubá de milho,0.0071,0.82,3.63,
147,2020,8,1102008,1.1.02.008,Fubá de milho,0.0075,-2.28,6.39,
148,2020,11,1102008,1.1.02.008,Fubá de milho,0.0073,-0.03,8.79,
149,2020,5,1102008,1.1.02.008,Fubá de milho,0.0072,1.78,5.48,
150,2020,12,1102008,1.1.02.008,Fubá de milho,0.0073,0.64,9.49,9.49
151,2020,9,1102008,1.1.02.008,Fubá de milho,0.0073,0.26,6.67,
152,2020,7,1102008,1.1.02.008,Fubá de milho,0.0072,3.78,8.88,
153,2020,2,1102008,1.1.02.008,Fubá de milho,0.007,0.48,1.2,
154,2020,10,1102008,1.1.02.008,Fubá de milho,0.0072,2.03,8.83,
155,2020,1,1102008,1.1.02.008,Fubá de milho,0.007,0.72,0.72,
156,2020,6,1102010,1.1.02.010,Flocos de milho,0.0172,-0.44,0.05,
157,2020,11,1102010,1.1.02.010,Flocos de milho,0.0172,-2.95,0.65,
158,2020,1,1102010,1.1.02.010,Flocos de milho,0.0172,-0.39,-0.39,
